Strike,16-Apr-21,30-Apr-21,21-May-21,28-May-21,18-Jun-21,30-Jun-21,17-Sep-21,30-Sep-21,17-Dec-21,31-Dec-21,21-Jan-22,18-Mar-22,17-Jun-22,16-Dec-22,15-Dec-23,20-Dec-24,19-Dec-25,18-Dec-26,17-Dec-27,15-Dec-28,21-Dec-29,15-Dec-34
3100,0.324831656,0.319446943,0.314418265,0.311601475,0.308291281,0.305218259,0.292729829,0.290971132,0.282668559,0.281044623,0.278420989,0.27528503,0.269653125,0.260358426,0.248696553,0.241937354,0.237246662,0.236909277,0.237192182,0.238133548,0.244912816,0.24545099
3110,0.323168729,0.317872797,0.31293539,0.310149025,0.306888033,0.30388736,0.291591853,0.289856793,0.28168624,0.280059402,0.277483867,0.274398412,0.268844933,0.259653579,0.248095414,0.241481183,0.236892497,0.236592041,0.236900743,0.237859004,0.244648906,0.245246988
3120,0.321508291,0.316300139,0.311452795,0.308696861,0.305481456,0.302550704,0.290449372,0.288737778,0.28070089,0.27907129,0.276544334,0.273509703,0.268035128,0.258946706,0.24749391,0.241025402,0.236538867,0.236275321,0.236609818,0.237584948,0.244385549,0.245043466
3130,0.319850335,0.31472897,0.309970493,0.307243336,0.304071596,0.301208361,0.289302441,0.287614142,0.279712547,0.278080324,0.275602421,0.27261893,0.267223735,0.258237836,0.246892051,0.240570014,0.236185768,0.235959116,0.236319406,0.23731138,0.244122742,0.24484042
3140,0.318194855,0.313159294,0.308488403,0.305784761,0.3026585,0.299860398,0.288151113,0.286485942,0.27872125,0.277086541,0.274658161,0.271726123,0.266410631,0.257526993,0.246289847,0.240115019,0.235833201,0.235643424,0.236029504,0.237038297,0.243860482,0.24463785
3150,0.316541844,0.31159111,0.307002281,0.30432106,0.301242212,0.298506883,0.286995444,0.285353231,0.277727038,0.276089978,0.273711587,0.27083131,0.26559448,0.256814205,0.245687307,0.239660419,0.235481164,0.235328243,0.235740111,0.236765698,0.243598767,0.244435751
3160,0.314891295,0.310024421,0.305509877,0.302852295,0.299822776,0.297147881,0.285835485,0.284216065,0.276729949,0.275090672,0.272762729,0.269934519,0.264774989,0.256099496,0.24508444,0.239206212,0.235129655,0.235013571,0.235451225,0.23649358,0.243337594,0.244234121
3170,0.313243201,0.308459229,0.304011264,0.301378529,0.298400238,0.295783459,0.284671288,0.283074496,0.275730018,0.274088659,0.271811619,0.269035778,0.263952197,0.255382892,0.244481256,0.238752402,0.234778672,0.234699407,0.235162844,0.236221941,0.24307696,0.244032959
3180,0.311597555,0.306895534,0.302506516,0.299899824,0.29697464,0.294413681,0.283502906,0.281928578,0.274727284,0.273083974,0.270858287,0.268135114,0.263126144,0.254664419,0.243877763,0.238298988,0.234428215,0.23438575,0.234874966,0.23595078,0.242816864,0.243832262
3190,0.309954351,0.305328836,0.300995705,0.298416241,0.295546024,0.29303861,0.282330389,0.280778363,0.273721782,0.272076651,0.269902765,0.267232555,0.262296868,0.2539441,0.243273971,0.237845971,0.234078282,0.234072597,0.234587589,0.235680095,0.242557302,0.243632026
3200,0.308313582,0.303754285,0.299478904,0.296927841,0.294114435,0.291658311,0.281153787,0.279623902,0.272713549,0.271066727,0.268945081,0.266328126,0.261464408,0.25322196,0.242669887,0.237393352,0.23372887,0.233759946,0.234300711,0.235409885,0.242298272,0.243432251
3210,0.30667524,0.302171966,0.297956182,0.295434682,0.292679912,0.290272845,0.27997315,0.278465246,0.271702619,0.270054234,0.267985265,0.265421854,0.260628802,0.252498023,0.242065521,0.236941131,0.23337998,0.233447797,0.234014331,0.235140147,0.242039772,0.243232933
3220,0.305035542,0.300581969,0.296427609,0.293936823,0.291242498,0.288882273,0.278788527,0.277302446,0.270689027,0.269039207,0.267023347,0.264513766,0.259790088,0.251772313,0.241460881,0.23648931,0.233031609,0.233136147,0.233728446,0.234870879,0.2417818,0.243034071
3230,0.303385721,0.29898438,0.294893256,0.292434324,0.289802233,0.287486658,0.277599967,0.276135552,0.269672809,0.268021679,0.266059355,0.263603886,0.258948301,0.251044854,0.240855976,0.236037889,0.232683755,0.232824995,0.233443055,0.23460208,0.241524352,0.242835662
