Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
"Krispy Kreme, Inc.",DNUT,Consumer Goods,7/01/21,29.4,$17.00 ,$21.00 ,$15.95 ,-6.18%,S/O
"The Glimpse Group, Inc.",VRAR,Technology,7/01/21,1.8,$7.00 ,$17.66 ,$8.12 ,16.00%,S/O
Torrid Holdings,CURV,Consumer Goods,7/01/21,11,$21.00 ,$24.15 ,$22.97 ,9.38%,S/O
"Aerovate Therapeutics, Inc.",AVTE,Health Care,6/30/21,8.7,$14.00 ,$22.83 ,$13.25 ,-5.36%,S/O
"Clear Secure, Inc.",YOU,Technology,6/30/21,13.2,$31.00 ,$40.00 ,$45.27 ,46.03%,S/O
"CVRx, Inc.",CVRX,Health Care,6/30/21,7,$18.00 ,$28.00 ,$19.48 ,8.22%,S/O
DiDi Global Inc.,DIDI,Technology,6/30/21,317,$14.00 ,$14.14 ,$8.87 ,-36.64%,S/O
Integral Ad Science Holding,IAS,Technology,6/30/21,15,$18.00 ,$20.58 ,$17.70 ,-1.67%,S/O
"LegalZoom.com, Inc",LZ,Technology,6/30/21,19.1,$28.00 ,$37.85 ,$35.39 ,26.39%,S/O
"Pop Culture Group Co., Ltd",CPOP,Consumer Services,6/30/21,6.2,$6.00 ,$30.30 ,$6.00 ,0.00%,S/O
SentinelOne,S,Technology,6/30/21,35,$35.00 ,$42.50 ,$49.81 ,42.31%,S/O
Social Capital Suvretta Holdings Corp. I,DNAA,Blank Check,6/30/21,22,$10.00 ,$10.11 ,$9.85 ,-1.50%,S/O
Social Capital Suvretta Holdings Corp. II,DNAB,Blank Check,6/30/21,22,$10.00 ,$10.12 ,$9.87 ,-1.30%,S/O
Social Capital Suvretta Holdings Corp. IV,DNAD,Blank Check,6/30/21,22,$10.00 ,$10.10 ,$9.86 ,-1.40%,S/O
"Xometry, Inc.",XMTR,Industrials,6/30/21,6.9,$44.00 ,$87.39 ,$71.59 ,62.70%,S/O
Dingdong (Cayman) Limited,DDL,Consumer Services,6/29/21,3.7,$23.50 ,$23.52 ,$26.22 ,11.57%,S/O
Gobi Acquisition Corp.,GOBI,Blank Check,6/29/21,25,$10.00 ,$9.91 ,$9.80 ,-2.00%,S/O
"Acurx Pharmaceuticals, LLC*",ACXP,Health Care,6/25/21,2.5,$6.00 ,$7.89 ,$5.20 ,-13.33%,S/O
"Alpha Teknova, Inc.",TKNO,Health Care,6/25/21,6,$16.00 ,$25.00 ,$19.16 ,19.75%,S/O
"Elevation Oncology, Inc.",ELEV,Health Care,6/25/21,6.3,$16.00 ,$11.44 ,$8.20 ,-48.75%,S/O
GH Research PLC,GHRS,Health Care,6/25/21,10,$16.00 ,$19.25 ,$17.00 ,6.25%,S/O
"Graphite Bio, Inc.",GRPH,Health Care,6/25/21,14,$17.00 ,$18.50 ,$21.48 ,26.35%,S/O
Missfresh Limited,MF,Consumer Services,6/25/21,21,$13.00 ,$9.66 ,$6.10 ,-53.08%,S/O
"Mister Car Wash, Inc.",MCW,Consumer Services,6/25/21,37.5,$15.00 ,$20.30 ,$21.07 ,40.47%,S/O
Bon Natural Life Limited,BON,Consumer Services,6/24/21,2.2,$5.00 ,$7.20 ,$12.30 ,146.00%,S/O
Bright Health Group,BHG,Health Care,6/24/21,51.4,$18.00 ,$16.64 ,$12.25 ,-31.94%,S/O
"Confluent, Inc.",CFLT,Technology,6/24/21,23,$36.00 ,$45.02 ,$39.23 ,8.97%,S/O
"Doximity, Inc.",DOCS,Technology,6/24/21,23.3,$26.00 ,$53.00 ,$57.97 ,122.96%,S/O
"GROVE, INC.",GRVI,Consumer Goods,6/24/21,2.2,$5.00 ,$5.60 ,$5.62 ,12.40%,S/O
